name,station,sensor,lat,lon,date_time,sea_water_temperature,bad_station
"Boston, MA",8443970,E1,42.3548,-71.0534,2015-08-08T00:00:00Z,17.8,False
"Providence, RI",8454000,E1,41.8071,-71.4012,2015-08-08T00:00:00Z,23.794,False
